=== TOP 50 MOST COMMON WORDS IN AMAZON PRODUCT NAMES ===
with                      752 times
for                       674 times
black                     530 times
usb                       419 times
cable                     414 times
and                       331 times
c                         314 times
a                         267 times
charging                  247 times
type                      243 times
to                        219 times
fast                      212 times
w                         210 times
gb                        195 times
in                        184 times
m                         183 times
smart                     175 times
s                         172 times
white                     170 times
tv                        150 times
compatible                146 times
hd                        143 times
data                      136 times
pro                       129 times
led                       129 times
g                         125 times
wireless                  119 times
water                     114 times
remote                    109 times
heater                    108 times
bluetooth                 107 times
cm                        107 times
grey                      106 times
laptop                    105 times
l                         102 times
of                        101 times
battery                    97 times
electric                   96 times
ram                        96 times
braided                    94 times
sync                       92 times
iphone                     92 times
adapter                    91 times
blue                       90 times
watch                      90 times
watt                       90 times
k                          89 times
ultra                      87 times
storage                    86 times
samsung                    85 times
